Date, Country_code, Country, WHO_region,Temperature (° F)(MIN),Temperature (° F)(AVG),Temperature (° F)(Max), New_cases, Cumulative_cases, New_deaths, Cumulative_deaths
1/3/2020,RU,Russian Federation,EURO,36,34.1,30,0,0,0,0
1/4/2020,RU,Russian Federation,EURO,32,30,28,0,0,0,0
1/5/2020,RU,Russian Federation,EURO,34,31.9,30,0,0,0,0
1/6/2020,RU,Russian Federation,EURO,30,29.5,28,0,0,0,0
1/7/2020,RU,Russian Federation,EURO,30,28.8,27,0,0,0,0
1/8/2020,RU,Russian Federation,EURO,34,32.4,30,0,0,0,0
1/9/2020,RU,Russian Federation,EURO,36,32.9,30,0,0,0,0
1/10/2020,RU,Russian Federation,EURO,34,33.6,32,0,0,0,0
1/11/2020,RU,Russian Federation,EURO,32,30.3,23,0,0,0,0
1/12/2020,RU,Russian Federation,EURO,32,26.3,19,0,0,0,0
1/13/2020,RU,Russian Federation,EURO,36,34.5,32,0,0,0,0
1/14/2020,RU,Russian Federation,EURO,34,32.2,30,0,0,0,0
1/15/2020,RU,Russian Federation,EURO,37,34.8,32,0,0,0,0
1/16/2020,RU,Russian Federation,EURO,37,36.9,36,0,0,0,0
1/17/2020,RU,Russian Federation,EURO,39,37.1,36,0,0,0,0
1/18/2020,RU,Russian Federation,EURO,37,33.7,28,0,0,0,0
1/19/2020,RU,Russian Federation,EURO,34,31.3,28,0,0,0,0
1/20/2020,RU,Russian Federation,EURO,37,35.3,34,0,0,0,0
1/21/2020,RU,Russian Federation,EURO,39,35.8,32,0,0,0,0
1/22/2020,RU,Russian Federation,EURO,37,32.3,28,0,0,0,0
1/23/2020,RU,Russian Federation,EURO,28,24.1,19,0,0,0,0
1/24/2020,RU,Russian Federation,EURO,34,28.1,19,0,0,0,0
1/25/2020,RU,Russian Federation,EURO,36,33.2,30,0,0,0,0
1/26/2020,RU,Russian Federation,EURO,34,29.7,28,0,0,0,0
1/27/2020,RU,Russian Federation,EURO,36,30.2,23,0,0,0,0
1/28/2020,RU,Russian Federation,EURO,27,22.9,19,0,0,0,0
1/29/2020,RU,Russian Federation,EURO,34,31.7,27,0,0,0,0
1/30/2020,RU,Russian Federation,EURO,32,30.4,28,0,0,0,0
1/31/2020,RU,Russian Federation,EURO,34,31.9,30,2,2,0,0
2/1/2020,RU,Russian Federation,EURO,36,31,30,0,2,0,0
2/2/2020,RU,Russian Federation,EURO,36,32.8,28,0,2,0,0
2/3/2020,RU,Russian Federation,EURO,37,34.8,32,0,2,0,0
2/4/2020,RU,Russian Federation,EURO,30,28.2,25,0,2,0,0
2/5/2020,RU,Russian Federation,EURO,25,22.5,16,0,2,0,0
2/6/2020,RU,Russian Federation,EURO,28,21.7,14,0,2,0,0
2/7/2020,RU,Russian Federation,EURO,16,14.8,12,0,2,0,0
2/8/2020,RU,Russian Federation,EURO,21,12.4,3,0,2,0,0
2/9/2020,RU,Russian Federation,EURO,30,24.7,16,0,2,0,0
2/10/2020,RU,Russian Federation,EURO,37,31,28,0,2,0,0
2/11/2020,RU,Russian Federation,EURO,34,31.3,28,0,2,0,0
2/12/2020,RU,Russian Federation,EURO,36,32.9,28,0,2,0,0
2/13/2020,RU,Russian Federation,EURO,30,28.7,27,0,2,0,0
2/14/2020,RU,Russian Federation,EURO,36,31.8,28,0,2,0,0
2/15/2020,RU,Russian Federation,EURO,36,30.1,25,0,2,0,0
2/16/2020,RU,Russian Federation,EURO,36,32.3,30,0,2,0,0
2/17/2020,RU,Russian Federation,EURO,41,38.4,34,0,2,0,0
2/18/2020,RU,Russian Federation,EURO,43,39.8,37,0,2,0,0
2/19/2020,RU,Russian Federation,EURO,41,37.4,36,0,2,0,0
2/20/2020,RU,Russian Federation,EURO,45,38.7,36,0,2,0,0
2/21/2020,RU,Russian Federation,EURO,46,37.6,30,0,2,0,0
2/22/2020,RU,Russian Federation,EURO,45,37.3,32,0,2,0,0
2/23/2020,RU,Russian Federation,EURO,37,34.1,32,0,2,0,0
2/24/2020,RU,Russian Federation,EURO,39,35.7,32,0,2,0,0
2/25/2020,RU,Russian Federation,EURO,37,31,27,0,2,0,0
2/26/2020,RU,Russian Federation,EURO,36,31.1,25,0,2,0,0
2/27/2020,RU,Russian Federation,EURO,37,34.6,32,0,2,0,0
2/28/2020,RU,Russian Federation,EURO,37,33.5,30,0,2,0,0
2/29/2020,RU,Russian Federation,EURO,34,30.1,27,0,2,0,0
3/1/2020,RU,Russian Federation,EURO,41,33.9,25,0,2,0,0
3/2/2020,RU,Russian Federation,EURO,41,37.5,36,0,2,0,0
3/3/2020,RU,Russian Federation,EURO,41,38.3,36,1,3,0,0
3/4/2020,RU,Russian Federation,EURO,43,38.9,37,0,3,0,0
3/5/2020,RU,Russian Federation,EURO,46,40.1,36,0,3,0,0
3/6/2020,RU,Russian Federation,EURO,43,41,39,1,4,0,0
3/7/2020,RU,Russian Federation,EURO,54,45.4,41,0,4,0,0
3/8/2020,RU,Russian Federation,EURO,46,43,37,3,7,0,0
